"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
3.6000000000000015E-001,3.5999999999999999E-001,3.4144558598725571E+003,3.8392687500000002E+003,1.1000000000000000E+001,1.0663194451822832E+001,1.0556474644124310E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3553509245335036E+000,7.4852578786602946E+000,1.6628103280480179E+001,1.6829068149821989E+001,-1.3352706846050046E+001,1.2779313385966540E+000,-1.1106741612587791E-001
3.7000000000000016E-001,3.7000000000000000E-001,3.5270430566060636E+003,3.8657682500000001E+003,1.1000000000000000E+001,1.0676427467235481E+001,1.0756471120758744E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3353300611387580E+000,7.4674899522805918E+000,1.7068800115138465E+001,1.7277635193957735E+001,-1.0655931645505952E+001,1.2458587595686541E+000,-1.0675130593688111E-001
3.8000000000000017E-001,3.8000000000000000E-001,3.6301644974899150E+003,3.8780445000000000E+003,1.1000000000000000E+001,1.0686257275639571E+001,1.0956471866261421E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3199236284641129E+000,7.4529162400649422E+000,1.7508433379125698E+001,1.7725230803853325E+001,-7.8104624266550688E+000,1.2114003053858284E+000,-1.0187603158422792E-001
3.9000000000000018E-001,3.9000000000000001E-001,3.7227988181336691E+003,3.8766217500000002E+003,1.1000000000000000E+001,1.0692432324834359E+001,1.1156471544547024E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3093410035193607E+000,7.4417482236052575E+000,1.7947286484508560E+001,1.8172053188273562E+001,-4.8644184056449680E+000,1.1747680540333536E+000,-9.6459383219335032E-002
4.0000000000000019E-001,4.0000000000000002E-001,3.8042204134736380E+003,3.8622522500000000E+003,1.1000000000000000E+001,1.0694744716390467E+001,1.1356474424483807E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3037133873647191E+000,7.4341560913055131E+000,1.8385652598678032E+001,1.8618312021185400E+001,-1.8641703119359936E+000,1.1362106211928140E+000,-9.0526682174351003E-002
4.1000000000000020E-001,4.1000000000000003E-001,3.8739933879836844E+003,3.8359037499999999E+003,1.1000000000000000E+001,1.0693034586574871E+001,1.1556470901118243E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3030940912276749E+000,7.4302666438350897E+000,1.8823831120436928E+001,1.9064225878875728E+001,1.1464087326092089E+000,1.0959901823961131E+000,-8.4108408237035984E-002
4.2000000000000021E-001,4.1999999999999998E-001,3.9319421718911581E+003,3.7987407499999999E+003,1.1000000000000000E+001,1.0687193657180812E+001,1.1756471646620907E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3074654307610549E+000,7.4301618761687767E+000,1.9262122373564868E+001,1.9510019610320256E+001,4.1252900908419301E+000,1.0544038057398317E+000,-7.7242168916021064E-002
4.3000000000000022E-001,4.2999999999999999E-001,3.9781383048876874E+003,3.7521057500000002E+003,1.1000000000000000E+001,1.0677164562698533E+001,1.1956474526557690E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3167417684325589E+000,7.4338780842452978E+000,1.9700823561112916E+001,1.9955921616140930E+001,7.0327871690809971E+000,1.0117305340029690E+000,-6.9975728478017321E-002
4.4000000000000022E-001,4.4000000000000000E-001,4.0128839474603028E+003,3.6974965000000002E+003,1.1000000000000000E+001,1.0662942264027482E+001,1.2156471003192133E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3307731424635207E+000,7.4414053281872619E+000,2.0140224808125193E+001,2.0402161087993861E+001,9.8314485476003064E+000,9.6830311998552998E-001,-6.2346481368781979E-002
4.5000000000000023E-001,4.5000000000000001E-001,4.0367022148445008E+003,3.6365425000000000E+003,1.1000000000000000E+001,1.0644573148546506E+001,1.2356471748694795E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3493496900470143E+000,7.4526889109644650E+000,2.0580605416831354E+001,2.0848965273047241E+001,1.2486729405018359E+001,9.2442976166031732E-001,-5.4365381781289017E-002
4.6000000000000024E-001,4.6000000000000002E-001,4.0502943903594582E+003,3.5709790000000003E+003,1.1000000000000000E+001,1.0622156729293433E+001,1.2556474628631578E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3722056052103477E+000,7.4676264909428074E+000,2.1022230424095902E+001,2.1296556708638899E+001,1.4966189979304158E+001,8.8043307818408045E-001,-4.6159549769494934E-002
